==========
Sat Sep 19 20:15:01 EDT 2015
{'name': 'USD/JPY', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'GBP/USD', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'EUR/USD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'NZD/USD', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'USD/CAD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'AUD/USD', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '2678400', 'summary': 'NEUTRAL'}
{'name': 'EUR/JPY', 'period': '604800', 'summary': 'SELL'}
{'name': 'EUR/JPY', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/GBP', 'period': '1', 'summary': 'NEUTRAL'}
{'name': 'EUR/JPY', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'AUD/CHF', 'period': '1', 'summary': 'BUY'}
{'name': 'USD/RUB', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'EUR/JPY', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'AUD/CHF', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'AUD/CHF', 'period': '604800', 'summary': 'SELL'}
{'name': 'AUD/CHF', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'AUD/CHF', 'period': '1440', 'summary': 'BUY'}
{'name': 'EUR/JPY', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'AUD/CHF', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'AUD/CHF', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'EUR/GBP', 'period': '604800', 'summary': 'NEUTRAL'}
{'name': 'AUD/CHF', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'EUR/GBP', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'EUR/GBP', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'AUD/CHF', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'EUR/GBP', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'EUR/GBP', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'EUR/GBP', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'EUR/GBP', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '1440', 'summary': 'NEUTRAL'}
{'name': 'USD/RUB', 'period': '30', 'summary': 'STRONG BUY'}
{'name': 'USD/HKD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '15', 'summary': 'STRONG BUY'}
{'name': 'USD/HKD', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '300', 'summary': 'BUY'}
{'name': 'USD/HKD', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'USD/RUB', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'USD/RUB', 'period': '60', 'summary': 'STRONG BUY'}
{'name': 'EUR/GBP', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '2678400', 'summary': 'NEUTRAL'}
{'name': 'CHF/JPY', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '1440', 'summary': 'STRONG SELL'}
{'name': 'AUD/JPY', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'USD/HKD', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'AUD/JPY', 'period': '1440', 'summary': 'BUY'}
{'name': 'AUD/JPY', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'AUD/JPY', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'CHF/JPY', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'AUD/JPY', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'AUD/JPY', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'EUR/CAD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '30', 'summary': 'BUY'}
{'name': 'AUD/JPY', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'EUR/CAD', 'period': '15', 'summary': 'NEUTRAL'}
{'name': 'AUD/JPY', 'period': '300', 'summary': 'NEUTRAL'}
{'name': 'EUR/AUD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '300', 'summary': 'BUY'}
{'name': 'EUR/AUD', 'period': '1440', 'summary': 'SELL'}
{'name': 'EUR/AUD', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'EUR/AUD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/AUD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'EUR/AUD', 'period': '15', 'summary': 'SELL'}
{'name': 'GBP/JPY', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '60', 'summary': 'NEUTRAL'}
{'name': 'GBP/JPY', 'period': '604800', 'summary': 'NEUTRAL'}
{'name': 'EUR/AUD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'EUR/AUD', 'period': '5', 'summary': 'BUY'}
{'name': 'GBP/JPY', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'GBP/JPY', 'period': '15', 'summary': 'NEUTRAL'}
{'name': 'GBP/JPY', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'GBP/JPY', 'period': '5', 'summary': 'BUY'}
{'name': 'AUD/JPY', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'EUR/CAD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'EUR/AUD', 'period': '1', 'summary': 'STRONG BUY'}
{'name': 'EUR/CAD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'CHF/JPY', 'period': '1', 'summary': 'BUY'}
{'name': 'GBP/JPY', 'period': '30', 'summary': 'STRONG SELL'}
